code,Vx,INL_ideal_LSB,DNL_ideal_LSB,INL_fit_LSB,DNL_fit_LSB
0,-0.000005,0.0000,0.0000,0.0000,0.0000
1,0.006554,-0.0671,-0.0671,-0.0088,-0.0088
2,0.013149,-0.1292,-0.0621,-0.0122,-0.0035
3,0.019824,-0.1798,-0.0507,-0.0036,0.0087
4,0.026340,-0.2532,-0.0733,-0.0190,-0.0154
5,0.033011,-0.3043,-0.0512,-0.0108,0.0081
6,0.039546,-0.3749,-0.0706,-0.0233,-0.0125
7,0.046199,-0.4288,-0.0539,-0.0180,0.0053
8,0.052720,-0.5013,-0.0725,-0.0325,-0.0145
9,0.059315,-0.5634,-0.0621,-0.0360,-0.0035
10,0.065910,-0.6254,-0.0620,-0.0394,-0.0033
11,0.072505,-0.6874,-0.0620,-0.0428,-0.0034
12,0.079110,-0.7481,-0.0607,-0.0448,-0.0020
13,0.085766,-0.8014,-0.0533,-0.0389,0.0058
14,0.092291,-0.8734,-0.0720,-0.0529,-0.0140
15,0.098953,-0.9260,-0.0526,-0.0463,0.0066
16,0.105865,-0.9428,-0.0168,-0.0017,0.0446
17,0.112465,-1.0042,-0.0614,-0.0044,-0.0027
18,0.119059,-1.0664,-0.0622,-0.0079,-0.0036
19,0.125670,-1.1262,-0.0598,-0.0090,-0.0010
20,0.132248,-1.1907,-0.0645,-0.0149,-0.0060
21,0.138856,-1.2508,-0.0601,-0.0163,-0.0014
22,0.145437,-1.3149,-0.0641,-0.0219,-0.0056
23,0.152097,-1.3677,-0.0528,-0.0155,0.0064
24,0.158626,-1.4391,-0.0713,-0.0288,-0.0133
25,0.165221,-1.5011,-0.0621,-0.0323,-0.0035
26,0.171815,-1.5633,-0.0622,-0.0358,-0.0035
27,0.178480,-1.6154,-0.0521,-0.0287,0.0071
28,0.185004,-1.6875,-0.0721,-0.0428,-0.0141
29,0.191669,-1.7396,-0.0521,-0.0357,0.0071
30,0.198264,-1.8017,-0.0621,-0.0391,-0.0035
31,0.204837,-1.8668,-0.0651,-0.0458,-0.0067
32,0.211771,-1.8808,-0.0139,0.0019,0.0477
33,0.218370,-1.9422,-0.0615,-0.0009,-0.0028
34,0.224964,-2.0043,-0.0621,-0.0044,-0.0035
35,0.231632,-2.0560,-0.0517,0.0032,0.0076
36,0.238184,-2.1242,-0.0682,-0.0067,-0.0099
37,0.244746,-2.1909,-0.0667,-0.0151,-0.0084
38,0.251342,-2.2528,-0.0619,-0.0183,-0.0032
39,0.258007,-2.3049,-0.0522,-0.0112,0.0071
40,0.264532,-2.3769,-0.0720,-0.0252,-0.0140
41,0.271127,-2.4390,-0.0620,-0.0286,-0.0034
42,0.277721,-2.5011,-0.0621,-0.0322,-0.0035
43,0.284318,-2.5629,-0.0618,-0.0353,-0.0032
44,0.290911,-2.6253,-0.0624,-0.0391,-0.0038
45,0.297574,-2.6776,-0.0522,-0.0321,0.0070
46,0.304169,-2.7396,-0.0621,-0.0355,-0.0035
47,0.310760,-2.8023,-0.0626,-0.0396,-0.0040
48,0.317732,-2.8106,-0.0084,0.0140,0.0536
49,0.324347,-2.8699,-0.0592,0.0136,-0.0004
50,0.330942,-2.9319,-0.0620,0.0102,-0.0034
51,0.337465,-3.0042,-0.0723,-0.0041,-0.0143
52,0.344132,-3.0560,-0.0518,0.0033,0.0074
53,0.350655,-3.1283,-0.0723,-0.0110,-0.0143
54,0.357318,-3.1807,-0.0524,-0.0042,0.0068
55,0.363908,-3.2434,-0.0627,-0.0083,-0.0041
56,0.370511,-3.3043,-0.0609,-0.0105,-0.0022
57,0.377034,-3.3767,-0.0724,-0.0248,-0.0144
58,0.383628,-3.4388,-0.0621,-0.0283,-0.0035
59,0.390287,-3.4918,-0.0530,-0.0221,0.0062
60,0.396818,-3.5629,-0.0712,-0.0352,-0.0131
61,0.403476,-3.6160,-0.0530,-0.0291,0.0062
62,0.410071,-3.6781,-0.0621,-0.0325,-0.0035
63,0.416653,-3.7419,-0.0638,-0.0378,-0.0053
64,0.423583,-3.7564,-0.0145,0.0093,0.0471
65,0.430180,-3.8181,-0.0617,0.0062,-0.0031
66,0.436775,-3.8802,-0.0621,0.0028,-0.0034
67,0.443440,-3.9322,-0.0520,0.0100,0.0072
68,0.449964,-4.0044,-0.0722,-0.0043,-0.0143
69,0.456632,-4.0560,-0.0515,0.0035,0.0077
70,0.463227,-4.1181,-0.0621,0.0000,-0.0035
71,0.469817,-4.1808,-0.0627,-0.0041,-0.0041
72,0.476342,-4.2528,-0.0721,-0.0182,-0.0141
73,0.482937,-4.3149,-0.0621,-0.0216,-0.0035
74,0.489533,-4.3768,-0.0619,-0.0248,-0.0032
75,0.496128,-4.4388,-0.0620,-0.0282,-0.0034
76,0.502722,-4.5010,-0.0622,-0.0317,-0.0035
77,0.509385,-4.5533,-0.0524,-0.0249,0.0069
78,0.515914,-4.6248,-0.0715,-0.0383,-0.0134
79,0.522571,-4.6781,-0.0533,-0.0324,0.0059
